,1.2만,4년 전,와 개좋네        
@user-qh6xm2kq9l,0,4년 전,넘 좋다
@user-tv2bq1cg1s,5,4년 전,형 처럼 음악해서 저도 성공 하겠슴다
@chaniebang6483,5,3년 전,              
@Alice-gl6um,0,3년 전,이 노래 너무너무너무 너무 좋음
@user-gt6ws1ni8j,0,4년 전,형 수녀님 영상에서도 말했지만 진짜 이런 감성적인게 너무좋아   형 소리지르고 쎄게나오는건 목생각해서 자제하고 그만큼 이런거나 더 내줘  진짜 인정  
@user-pg6lw7ye7g,214,3년 전(수정됨),         이라서           를 부른건가
@timaliska,19,4년 전(수정됨),                                                         
@user-md9jz2ot2p,1,1년 전,멋진 노래 감사해요
@Masta-Woo,0,4년 전,너무 좋아요 짱이야
@lomo659,4,4년 전,한요한은 국힙  탑   원      기옥
@nyx1911,50,4년 전,                                         
@IMAGINECH,2,2년 전,이번곡 진짜 잘뽑았다 오랜만에 한곡 무한재생중이네
@DD-cw1gs,0,4년 전,한요한이 그런 가사를 쓴다는건 인생이 쓰다는 뜻이다 가사만 들어도 알 수 있다
@user-bv5cq9eo9l,2,4년 전,형 사랑해
@gabrielagojic9334,2,4년 전,                                                  
@oil_512,2,3년 전,음악이 완전 소년만화의 주제가같이 들리네요 이노래 들으면서 유산소하면 개좋음    추천합니다
@user-up5kh7vx1x,0,3년 전,진짜 한요한 훅 하나는 진짜 지리네
@Theoseotheo,50,4년 전,이형 제스쳐는 여전하네      
@user-sw7lv7md1h,12,4년 전,한요한은 그냥 병         노래 넘 좋자나   형
@user-lx3cp9rz2p,1,2년 전,와 노래 검나 좋아  
@user-oo8cc1rd6z,0,4년 전,그 한요한이 계정에 올린 춤추는영상에서 나오는 노래 듣고 검색해서 맨날듣는중    개좋네
@user-xo8pd9kf4j,14,3년 전,     개간지 하이라이트
@user-ud1gd7vx1w,39,3년 전,람보르기니의 최고 속력은 시속      이다 가사를 보니 노엘이      로 박아서 노엘에게서 성공 람보르기니가 멀어져간다는 뜻인듯
@nesuokih,0,4년 전,노래 왜케 좋음  
@honeybeevip4856,2,4년 전,                                              
@blu3r0s4,8,3년 전,                                                                        
@ERA_Music,3,1년 전,                          
@jeonghyunkoo_375,0,4년 전,요한이형 음악 정말많이 발전하고있다는걸 깊히깨달음
@FiveBreadTwoFishes,0,4년 전,개좋다
@user-um4hc4cu4v,5,4년 전,오케이 가자
@user-co2jy6de8m,2,1년 전,미친 너무좋다   
@user-df7kt9de2m,0,4년 전(수정됨),와 한요한개멋있어
@user-dv3mc6eq9y,0,3년 전,   배로 들으면 또달라지는 이명곡이란
@deannemae1552,12,4년 전,                                                                  
@user-ty6ft1ow2l,0,4년 전,올해는 꼭 실물을 볼 수 있길 바라며      
@user-sn5xb8fx9e,0,4년 전,노래 진짜좋다
@nidia1930,21,4년 전,                                                                                                                                         
@Creationofleesunsin,3,4년 전,형 진짜      로 달렸네   
@NgocNguyen-hg8jo,0,2년 전,                                                         
@raraarafah6199,1,4년 전,개좋아
